task,method,method_group,time_step,quality_score,runtime_sec,objective,valid,n_solution_edges,reference_similarity,quality_gap_to_baseline,speedup_vs_full_recompute,reused_solution_rate,changed_edges_ratio,n_changed_edges,n_recomputed_edges,gpu_used,n_queries,n_recomputed_queries,mean_path_risk,n_solution_nodes,coverage_rate,n_repaired_edges
Vertex Cover,graph_ai_message_passing_vertex_cover,graph_ai,8,4038.0,3.6177151740002955,4038.0,True,,0.8102466793168881,-0.11213720316622691,0.003651513279692861,,1.0354274917335853,46032,,True,,,,4038.0,1.0,
Vertex Cover,classical_maximal_matching_2approx,classical,9,4550.0,0.013207898000473506,4550.0,True,,1.0,0.0,1.0,0.0,1.035398028637119,45484,,,,,,4550.0,1.0,
Vertex Cover,dynamic_matching_cover_repair,dynamic,9,3677.0,0.06299176600077772,3677.0,True,,0.7530364372469636,-0.19186813186813187,0.20967657900415806,1.0,1.035398028637119,45484,,,,,,3677.0,1.0,31.0
Vertex Cover,primal_dual_neural_node_ranking,ai_ml,9,4112.0,101.4874059900003,4112.0,True,,0.8125130780498012,-0.09626373626373626,0.000130143221926225,,1.035398028637119,45484,,True,,,,4112.0,1.0,
Vertex Cover,graph_ai_message_passing_vertex_cover,graph_ai,9,4035.0,3.6358929749994786,4035.0,True,,0.8111814345991561,-0.11318681318681319,0.0036326421298128004,,1.035398028637119,45484,,True,,,,4035.0,1.0,
Vertex Cover,classical_maximal_matching_2approx,classical,10,4532.0,0.013575621000200044,4532.0,True,,1.0,0.0,1.0,0.0,1.0353666674336732,44996,,,,,,4532.0,1.0,
Vertex Cover,dynamic_matching_cover_repair,dynamic,10,3664.0,0.06357655900046666,3664.0,True,,0.7494130202774814,-0.1915269196822595,0.21353186164259688,1.0,1.0353666674336732,44996,,,,,,3664.0,1.0,27.0
Vertex Cover,primal_dual_neural_node_ranking,ai_ml,10,4610.0,98.81314614500025,4610.0,True,,0.837957378367511,0.017210944395410415,0.00013738679042036499,,1.0353666674336732,44996,,True,,,,4610.0,1.0,
Vertex Cover,graph_ai_message_passing_vertex_cover,graph_ai,10,4025.0,3.519291203998364,4025.0,True,,0.8071805702217529,-0.1118711385701677,0.0038574872647015985,,1.0353666674336732,44996,,True,,,,4025.0,1.0,
Vertex Cover,classical_maximal_matching_2approx,classical,11,4520.0,0.014981326999986777,4520.0,True,,1.0,0.0,1.0,0.0,1.035366335712791,44528,,,,,,4520.0,1.0,
Vertex Cover,dynamic_matching_cover_repair,dynamic,11,3649.0,0.0662180930012255,3649.0,True,,0.7488760436737315,-0.19269911504424778,0.22624219938966708,1.0,1.035366335712791,44528,,,,,,3649.0,1.0,28.0
Vertex Cover,primal_dual_neural_node_ranking,ai_ml,11,4587.0,100.45536609600094,4587.0,True,,0.8265142398716406,0.014823008849557522,0.00014913416358136366,,1.035366335712791,44528,,True,,,,4587.0,1.0,
Vertex Cover,graph_ai_message_passing_vertex_cover,graph_ai,11,4033.0,3.6428820389992325,4033.0,True,,0.8055731475617479,-0.10774336283185841,0.0041124930315071155,,1.035366335712791,44528,,True,,,,4033.0,1.0,
Vertex Cover,classical_maximal_matching_2approx,classical,12,4508.0,0.015180205999058671,4508.0,True,,1.0,0.0,1.0,0.0,1.035397605663617,44022,,,,,,4508.0,1.0,
Vertex Cover,dynamic_matching_cover_repair,dynamic,12,3639.0,0.06502470599843946,3639.0,True,,0.7467838765008576,-0.19276841171251108,0.23345289710995362,1.0,1.035397605663617,44022,,,,,,3639.0,1.0,26.0
Vertex Cover,primal_dual_neural_node_ranking,ai_ml,12,4247.0,97.57667696099998,4247.0,True,,0.8066446553858853,-0.05789707187222715,0.00015557207389964702,,1.035397605663617,44022,,True,,,,4247.0,1.0,
Vertex Cover,graph_ai_message_passing_vertex_cover,graph_ai,12,4029.0,3.571167759999298,4029.0,True,,0.8075375820453102,-0.10625554569653949,0.00425076810142956,,1.035397605663617,44022,,True,,,,4029.0,1.0,
Vertex Cover,classical_maximal_matching_2approx,classical,13,4496.0,0.013438010999379912,4496.0,True,,1.0,0.0,1.0,0.0,1.0353797137286604,43546,,,,,,4496.0,1.0,
