task,method,method_group,time_step,quality_score,runtime_sec,objective,valid,n_solution_edges,reference_similarity,quality_gap_to_baseline,speedup_vs_full_recompute,reused_solution_rate,changed_edges_ratio,n_changed_edges,n_recomputed_edges,gpu_used,n_queries,n_recomputed_queries,mean_path_risk
Shortest Path,graph_ai_message_passing_routing,graph_ai,10,7.4513323311029325,0.3890142760001254,7.4513323311029325,False,,0.96,0.00020911763590719158,1.0989972126367162,,1.0353666674336732,44996,,True,300.0,,0.15053433061294155
Shortest Path,classical_dijkstra_full_recompute,classical,11,7.509607294378471,0.4469115879999208,7.509607294378471,False,,1.0,0.0,1.0,0.0,1.035366335712791,44528,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,11,7.509607294378471,0.4353114309999455,7.509607294378471,False,,1.0,0.0,1.0266479494308909,0.0,1.035366335712791,44528,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,11,8.288047246446315,0.3774244119999821,8.288047246446315,False,,0.37,0.10365920900425339,1.184108854092729,,1.035366335712791,44528,,,300.0,,0.1647357014558534
Shortest Path,graph_ai_message_passing_routing,graph_ai,11,7.51101789840049,0.4014456790000622,7.51101789840049,False,,0.9666666666666667,0.00018783991848347745,1.113255444953616,,1.035366335712791,44528,,True,300.0,,0.15559527529692765
Shortest Path,classical_dijkstra_full_recompute,classical,12,7.566087472032868,0.43739370799994504,7.566087472032868,False,,1.0,0.0,1.0,0.0,1.035397605663617,44022,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,12,7.566087472032868,0.4365597250000519,7.566087472032868,False,,1.0,0.0,1.0019103525866777,0.0,1.035397605663617,44022,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,12,8.389904380355157,0.3782716190000883,8.389904380355157,False,,0.3933333333333333,0.10888281577069105,1.156295333908841,,1.035397605663617,44022,,,300.0,,0.1695578652822864
Shortest Path,graph_ai_message_passing_routing,graph_ai,12,7.567096287877953,0.4035894459998417,7.567096287877953,False,,0.9666666666666667,0.0001333338860822671,1.0837590336792815,,1.035397605663617,44022,,True,300.0,,0.15814773325120318
Shortest Path,classical_dijkstra_full_recompute,classical,13,7.560448491107567,0.4055326579998564,7.560448491107567,False,,1.0,0.0,1.0,0.0,1.0353797137286604,43546,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,13,7.560448491107567,0.42364629899998363,7.560448491107567,False,,1.0,0.0,0.9572434810763496,0.0,1.0353797137286604,43546,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,13,8.355380884142388,0.36719510900002206,8.355380884142388,False,,0.42,0.105143549879323,1.1044064805335738,,1.0353797137286604,43546,,,300.0,,0.1650820497663985
Shortest Path,graph_ai_message_passing_routing,graph_ai,13,7.56137859539652,1.191228325999873,7.56137859539652,False,,0.9766666666666667,0.0001230223696447205,0.3404323496584647,,1.0353797137286604,43546,,True,300.0,,0.15726985344242037
Shortest Path,classical_dijkstra_full_recompute,classical,14,7.616516357844546,0.47514497099996333,7.616516357844546,False,,1.0,0.0,1.0,0.0,1.0353217833661275,43146,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,14,7.616516357844546,0.41737143499995,7.616516357844546,False,,1.0,0.0,1.1384223527420372,0.0,1.0353217833661275,43146,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,14,8.443580597860546,0.3946007009999448,8.443580597860546,False,,0.44333333333333336,0.10858825756530732,1.204115881689804,,1.0353217833661275,43146,,,300.0,,0.16763755981017814
Shortest Path,graph_ai_message_passing_routing,graph_ai,14,7.617455885854321,0.4242313089998788,7.617455885854321,False,,0.9733333333333334,0.00012335403295072066,1.120013919104917,,1.0353217833661275,43146,,True,300.0,,0.15754055555445437
Shortest Path,classical_dijkstra_full_recompute,classical,15,7.683848244141828,0.4331757090001247,7.683848244141828,False,,1.0,0.0,1.0,0.0,1.03532575775931,42731,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,15,7.683848244141828,0.4314268949999587,7.683848244141828,False,,1.0,0.0,1.0040535581356518,0.0,1.03532575775931,42731,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,15,8.488683922073944,0.3661021839998284,8.488683922073944,False,,0.42333333333333334,0.10474382787891781,1.1832098466812964,,1.03532575775931,42731,,,300.0,,0.16544634223804572
Shortest Path,graph_ai_message_passing_routing,graph_ai,15,7.685199396493729,0.40268165300017245,7.685199396493729,False,,0.97,0.0001758431854678466,1.0757274531202423,,1.03532575775931,42731,,True,300.0,,0.15492141390507536
