task,method,method_group,time_step,quality_score,runtime_sec,objective,valid,n_solution_edges,reference_similarity,quality_gap_to_baseline,speedup_vs_full_recompute,reused_solution_rate,changed_edges_ratio,n_changed_edges,n_recomputed_edges,gpu_used,n_queries,n_recomputed_queries,mean_path_risk,n_solution_nodes,coverage_rate,n_repaired_edges,precision_at_k,recall_at_k,roc_auc,average_precision,subgraph_node_precision,subgraph_node_recall,subgraph_edge_precision,subgraph_edge_recall,n_candidate_nodes,n_candidate_edges
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,16,0.06563035242229309,0.0011240299991186475,0.06563035242229309,True,,,0.0,1.0,,1.0353497025630982,42293,,,,,,100.0,,,0.05,0.20833333333333334,0.8403047674569245,0.06563035242229309,0.006330783434450013,1.0,0.0008666666666666666,1.0,3791.0,30000.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,16,0.11893145512702229,0.0009559110003465321,0.11893145512702229,True,,,-0.8121410405016211,1.1758730663327128,,1.0353497025630982,42293,,,,,,100.0,,,0.02,0.08333333333333333,0.9601308459645032,0.11893145512702229,0.0116335433834222,1.0,0.00196969696969697,1.0,2063.0,13200.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,16,0.22700925688724893,110.62074326799848,0.22700925688724893,True,,,-2.458906565464963,,,1.0353497025630982,42293,,False,,,,100.0,,,0.16,0.6666666666666666,0.9846887550200804,0.22700925688724893,0.00978393803505911,1.0,0.0015678707109690647,1.0,2453.0,16583.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,16,0.05165737810558793,0.09330183800011582,0.05165737810558793,True,,,0.21290414878160657,,,1.0353497025630982,42293,,True,,,,100.0,,,0.03,0.125,0.9418804249255085,0.05165737810558793,0.008717762440973484,1.0,0.0013402061855670104,1.0,2753.0,19400.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,17,0.06357789745886165,0.0010539129998505814,0.06357789745886165,True,,,0.0,1.0,,1.0353249449978987,41882,,,,,,100.0,,,0.04,0.16666666666666666,0.9029124644427204,0.06357789745886165,0.006073409030895168,0.9583333333333334,0.0010074890015783994,0.7894736842105263,3787.0,29777.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,17,0.1067546914193649,0.0009209549989463994,0.1067546914193649,True,,,-0.6791164175952968,1.1443697043354886,,1.0353249449978987,41882,,,,,,100.0,,,0.02,0.08333333333333333,0.9674570080165503,0.1067546914193649,0.010154738878143133,0.875,0.0018003150551346486,0.631578947368421,2068.0,13331.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,17,0.5303769450240572,118.93303451199972,0.5303769450240572,True,,,-7.3421592443701025,,,1.0353249449978987,41882,,False,,,,100.0,,,0.19,0.7916666666666666,0.9895267649340574,0.5303769450240572,0.009025949605114705,1.0,0.002058058925476603,1.0,2659.0,18464.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,17,0.0855217835966823,0.0929063359999418,0.0855217835966823,True,,,-0.34514960410604234,,,1.0353249449978987,41882,,True,,,,100.0,,,0.03,0.125,0.9631658908714765,0.0855217835966823,0.00870195794053662,1.0,0.0014982434387270098,0.7631578947368421,2758.0,19356.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,18,0.12256517476705014,0.0011058529998990707,0.12256517476705014,True,,,0.0,1.0,,1.035237240829346,41542,,,,,,100.0,,,0.14,0.5833333333333334,0.9695525229061814,0.12256517476705014,0.006391478029294274,1.0,0.0031123879882344893,0.9891304347826086,3755.0,29238.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,18,0.39492005617283715,0.0007966480006871279,0.39492005617283715,True,,,-2.22212289847773,1.388132523956937,,1.035237240829346,41542,,,,,,100.0,,,0.13,0.5416666666666666,0.9891276293715318,0.39492005617283715,0.010355029585798817,0.875,0.006257822277847309,0.8695652173913043,2028.0,12784.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,18,0.8953610350225572,127.13027670100018,0.8953610350225572,True,,,-6.3051830320015325,,,1.035237240829346,41542,,False,,,,100.0,,,0.23,0.9583333333333334,0.9987095109046329,0.8953610350225572,0.009153318077803204,1.0,0.005101474991682378,1.0,2622.0,18034.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,18,0.20999585984841113,0.09002707699983148,0.20999585984841113,True,,,-0.713340353387767,,,1.035237240829346,41542,,True,,,,100.0,,,0.12,0.5,0.9770373596593109,0.20999585984841113,0.009005481597494126,0.9583333333333334,0.004978868754703873,0.9347826086956522,2554.0,17273.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,19,0.10769346892199504,0.0012942899993504398,0.10769346892199504,True,,,0.0,1.0,,1.03527252614642,41179,,,,,,100.0,,,0.07,0.30434782608695654,0.9107927203097311,0.10769346892199504,0.006189451022604951,1.0,0.0023071276261054986,1.0,3716.0,28607.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,19,0.24589409562885978,0.0009017270003823796,0.24589409562885978,True,,,-1.283277696319419,1.4353457296960086,,1.03527252614642,41179,,,,,,100.0,,,0.12,0.5217391304347826,0.9719998992197931,0.24589409562885978,0.010613751730503,1.0,0.004701859371660611,1.0,2167.0,14037.0
