task,method,method_group,time_step,quality_score,runtime_sec,objective,valid,n_solution_edges,reference_similarity,quality_gap_to_baseline,speedup_vs_full_recompute,reused_solution_rate,changed_edges_ratio,n_changed_edges,n_recomputed_edges,gpu_used
MST/MSF,classical_kruskal_full_recompute,classical,14,5350.824310093264,0.12846144999991793,5350.824310093264,True,5035,1.0,0.0,1.0,0.0,1.0353217833661275,43146,,
MST/MSF,dynamic_delta_aware_warm_start_msf,dynamic,14,5350.824310093264,0.15897864900000513,5350.824310093264,True,5035,1.0,0.0,0.80804215413803,0.0,1.0353217833661275,43146,5035.0,
MST/MSF,learned_edge_ranking_msf_practical_adaptation,ai_ml,14,5698.491323384558,0.3855054379999956,5698.491323384558,True,5035,0.7359076021375625,0.06497447741565529,0.33322863269160785,,1.0353217833661275,43146,,
MST/MSF,graph_ai_message_passing_msf,graph_ai,14,5350.883347629416,0.7583215409999866,5350.883347629416,True,5035,0.9948494453248812,1.1033353504113556e-05,0.1694023485479759,,1.0353217833661275,43146,,True
MST/MSF,classical_kruskal_full_recompute,classical,15,5353.238851493334,0.12122624800008452,5353.238851493334,True,5039,1.0,0.0,1.0,0.0,1.03532575775931,42731,,
MST/MSF,dynamic_delta_aware_warm_start_msf,dynamic,15,5353.238851493334,0.15997423199996774,5353.238851493334,True,5039,1.0,0.0,0.7577860914507092,0.0,1.03532575775931,42731,5039.0,
MST/MSF,learned_edge_ranking_msf_practical_adaptation,ai_ml,15,5674.824155631793,0.3909211550001146,5674.824155631793,True,5039,0.7490454703228046,0.06007303485977463,0.3101040873575875,,1.03532575775931,42731,,
MST/MSF,graph_ai_message_passing_msf,graph_ai,15,5353.373074650609,0.19974895499990453,5353.373074650609,True,5039,0.990519454868655,2.507326144019485e-05,0.6068930273009061,,1.03532575775931,42731,,True
MST/MSF,classical_kruskal_full_recompute,classical,16,5390.335485938442,0.6630501250001544,5390.335485938442,True,5042,1.0,0.0,1.0,0.0,1.0353497025630982,42293,,
MST/MSF,dynamic_delta_aware_warm_start_msf,dynamic,16,5390.335485938442,0.14872239200008153,5390.335485938442,True,5042,1.0,0.0,4.45830729376509,0.0,1.0353497025630982,42293,5042.0,
MST/MSF,learned_edge_ranking_msf_practical_adaptation,ai_ml,16,5696.015689184458,0.3676367430000482,5696.015689184458,True,5042,0.7506944444444444,0.05670893844055392,1.8035469457960773,,1.0353497025630982,42293,,
MST/MSF,graph_ai_message_passing_msf,graph_ai,16,5390.448863177275,0.18827072100020814,5390.448863177275,True,5042,0.9920979849861715,2.1033429019166702e-05,3.521790969289491,,1.0353497025630982,42293,,True
MST/MSF,classical_kruskal_full_recompute,classical,17,5405.848661845128,0.11516265599993858,5405.848661845128,True,5047,1.0,0.0,1.0,0.0,1.0353249449978987,41882,,
MST/MSF,dynamic_delta_aware_warm_start_msf,dynamic,17,5405.848661845128,0.1441594189998341,5405.848661845128,True,5047,1.0,0.0,0.7988562717505897,0.0,1.0353249449978987,41882,5047.0,
MST/MSF,learned_edge_ranking_msf_practical_adaptation,ai_ml,17,5774.929363182455,0.38476796000009017,5774.929363182455,True,5047,0.7481815032906131,0.06827433108557501,0.2993041728316245,,1.0353249449978987,41882,,
MST/MSF,graph_ai_message_passing_msf,graph_ai,17,5405.939170060966,0.1834629509999104,5405.939170060966,True,5047,0.9932859399684044,1.67426469920783e-05,0.627716143081089,,1.0353249449978987,41882,,True
MST/MSF,classical_kruskal_full_recompute,classical,18,5444.973021429135,0.11709860399992067,5444.973021429135,True,5056,1.0,0.0,1.0,0.0,1.035237240829346,41542,,
MST/MSF,dynamic_delta_aware_warm_start_msf,dynamic,18,5444.973021429135,0.1432301519998873,5444.973021429135,True,5056,1.0,0.0,0.8175555381663827,0.0,1.035237240829346,41542,5056.0,
MST/MSF,learned_edge_ranking_msf_practical_adaptation,ai_ml,18,5831.293904255003,0.3738321519999772,5831.293904255003,True,5056,0.7344768439108061,0.0709500086236371,0.31323845039398274,,1.035237240829346,41542,,
MST/MSF,graph_ai_message_passing_msf,graph_ai,18,5445.047777327148,0.7267989879999277,5445.047777327148,True,5056,0.9909430990352431,1.3729342224226564e-05,0.16111552978652788,,1.035237240829346,41542,,True
MST/MSF,classical_kruskal_full_recompute,classical,19,5500.7793069899835,0.11483359599992582,5500.7793069899835,True,5064,1.0,0.0,1.0,0.0,1.03527252614642,41179,,
MST/MSF,dynamic_delta_aware_warm_start_msf,dynamic,19,5500.7793069899835,0.1423879220001254,5500.7793069899835,True,5064,1.0,0.0,0.8064841061436706,0.0,1.03527252614642,41179,5064.0,
MST/MSF,learned_edge_ranking_msf_practical_adaptation,ai_ml,19,5862.798517392736,0.3717504280000412,5862.798517392736,True,5064,0.7405052414504211,0.06581234952340764,0.3088997008496063,,1.03527252614642,41179,,
MST/MSF,graph_ai_message_passing_msf,graph_ai,19,5500.852057211993,0.1826454960000774,5500.852057211993,True,5064,0.9929161747343566,1.3225439151376115e-05,0.6287239407199899,,1.03527252614642,41179,,True
